open,low,high,close,volume,vwap,target
0.013624831,0.01348873,0.013534307,0.01374653,0.005464062,0.004568768,0.000296094
0.000902307,0.000892795,0.000874025,0.000880846,0.003301744,0.00060281,0.000319878
0.001448998,0.001446758,0.001428796,0.001462738,0.067138653,0.000231597,0.000206529
0.003046612,0.003060242,0.003019836,0.00304826,0.004840521,0.001260814,0.000158937
0.0075953,0.007508081,0.007473701,0.007452488,0.012163975,0.004091852,0.000155863
0.040248187,0.040256436,0.041230962,0.040727098,0.002126231,0.047735182,0.001284368
0.007781069,0.007884561,0.008159313,0.008130472,0.007185742,0.004101049,0.000949643
0.007436069,0.007508081,0.007400429,0.007537903,0.003360861,0.002676318,7.23E-05
0.005350148,0.005394416,0.00536976,0.005423874,0.00281482,0.003105186,0.000127688
0.001963844,0.00194156,0.001941697,0.00193786,0.020584001,0.001457523,0.000243596
0.002091229,0.002081395,0.002051604,0.002060645,0.00946059,0.000854689,8.72E-05
0.008269376,0.008255662,0.008222118,0.008285287,0.016806445,0.001825612,0.000356325
0.076807533,0.076731941,0.07697179,0.077380952,0.000124548,0.048389023,0.000262797
0.001714383,0.001715672,0.001674779,0.001724322,0.034626905,0.000318744,0.000211688
0.000456461,0.000462532,0.000429162,0.000453769,0.019206647,0.000574853,0.000208726
0.002876766,0.00290965,0.002862825,0.002882767,0.038473859,0.000522677,5.90E-05
0.000138,0.000134457,0.000115141,0.000128123,0.013097002,0.000133631,0.000290375
0.002154921,0.00206526,0.002161511,0.002087337,0.003897685,0.002372347,0.000414408
0.004458457,0.004420947,0.004370126,0.004393551,0.008601853,0.001475017,0.000132982
0.005212148,0.005103989,0.005113309,0.005066197,0.025139772,0.001135519,0.000296734
0.00532361,0.005389038,0.005374993,0.005466581,0.024302698,0.002374943,0.00027266
0.00277592,0.00272141,0.002711048,0.00270126,0.008642775,0.001216519,0.000190856
0.003773765,0.003813202,0.003804888,0.003816998,0.01493599,0.002379566,0.00022601
0.004856533,0.004759779,0.004767886,0.004809951,0.004093451,0.001696274,0.00063952
0.002038152,0.002043747,0.001999267,0.002039291,0.013637736,0.001154389,0.000131643
0.002648536,0.002651493,0.002606375,0.00263186,0.008883272,0.001020507,9.06E-05
0.000865153,0.000860525,0.000826922,0.000854153,0.06684575,0.000251546,0.000155465
0.00114646,0.001118683,0.001114775,0.001126415,0.011393378,0.001035988,0.000290071
0.00341815,0.003350669,0.003349558,0.003331198,0.010615283,0.001107371,0.000149625
0.020758362,0.020534278,0.020448003,0.020483664,0.004541108,0.007569924,0.000301536
0.001783383,0.001780211,0.001742817,0.001761691,0.01103767,0.00063977,0.000135826
0.019176672,0.018947685,0.020892866,0.021343156,0.002732421,0.06334919,0.004105671
0.01961721,0.019797454,0.020081645,0.020264788,0.009143795,0.007639194,0.000581821
0.010896681,0.010993207,0.011001204,0.011007901,0.000773512,0.002636869,0.000325175
0.030062737,0.029650465,0.030407704,0.030568012,0.001416822,0.019360193,0.000445107
0.005419148,0.005421308,0.005374993,0.005450566,0.002849138,0.001059359,0.000252094
0.00988822,0.009944442,0.009896896,0.010020286,0.001026764,0.003646622,0.000206788
0.026448202,0.026552575,0.026780761,0.027167414,0.000922954,0.005687496,0.000163915
0.014872138,0.01489784,0.014989271,0.015193252,0.000974579,0.003829085,0.000345796
0.047556872,0.04778603,0.047485215,0.047805894,0.001482644,0.015540916,0.00026575
0.014144985,0.014252446,0.014246088,0.014344437,0.000626198,0.00551956,0.000334342
0.041293802,0.03971323,0.040691893,0.040972667,0.000606505,0.006542051,0.000786682
0.026665817,0.026794598,0.026341132,0.026617553,0.00023609,0.003716554,0.000117281
0.011464603,0.011627844,0.012136913,0.012267777,0.001863019,0.00614036,0.000587833
0.001921383,0.00194156,0.001905061,0.001932522,0.008040437,0.001713498,0.000244032
0.097767587,0.098121366,0.100104674,0.101932522,0.000234201,0.022140145,0.000461503
0.026931202,0.026864516,0.027042445,0.026980568,0.001228359,0.010584646,0.000550578
0.074466843,0.074801138,0.076820014,0.076921845,0.001118631,0.055860859,0.001273793
0.038708958,0.039196915,0.039373005,0.039712791,0.000166113,0.029058531,0.000355777
0.051144868,0.050399875,0.052048987,0.052546445,0.000847839,0.035730093,0.000878793
0.02739297,0.027461505,0.028806197,0.029030536,0.003815425,0.014523721,0.001701032
0.120431409,0.122043962,0.125718323,0.123830878,0.000182406,0.133864191,0.002113397
0.056702016,0.056326741,0.057612393,0.057783472,0.00012939,0.05391493,0.000858977
0.203857627,0.203411982,0.204521903,0.206966688,0.000260952,0.158517872,0.000717428
0.104991348,0.104930271,0.107683048,0.108765748,0.000220785,0.067407206,0.001333336
0.040088957,0.037954532,0.040393573,0.038992099,0.000359196,0.043812295,0.005071245
0.138238697,0.136721292,0.139718428,0.140951313,0.000144437,0.076212396,0.000541297
0.097342972,0.096362668,0.097932695,0.098601324,0.00012961,0.047926866,0.001161221
0.036081653,0.035905407,0.036227561,0.036200085,0.000358995,0.01840977,0.000501731
0.077401994,0.078436856,0.083623803,0.084187487,0.001613286,0.03975389,0.002632038
0.002616689,0.002651493,0.002847124,0.002802691,0.003836434,0.002738128,0.00455395
0.001210153,0.001231626,0.001240383,0.001238522,0.002435244,0.001609727,0.00037348
0.032870503,0.033318453,0.033893338,0.034160794,0.000658061,0.014376082,0.000621854
0.006576224,0.006593773,0.006699116,0.006843903,0.001483236,0.00296002,0.000322285
0.009935989,0.009933686,0.009996336,0.009966902,0.00091322,0.005802073,0.000730425
0.027499124,0.026982838,0.027382635,0.027108691,0.007048338,0.015977435,0.000532164
0.017865673,0.017947325,0.01855341,0.018492419,0.023117188,0.005270853,0.000941202
0.005132533,0.005206176,0.005254619,0.005349135,0.005895319,0.003100104,0.000372644
0.037530652,0.037319895,0.038179725,0.038223361,0.001694602,0.014196295,0.000925057
0.031586043,0.031167141,0.031522479,0.030931027,0.000538914,0.008655489,0.000222696
0.007871299,0.007884561,0.007798189,0.00789558,0.004521592,0.001698549,0.000223098
0.022801822,0.023035179,0.023316062,0.023179586,0.026276843,0.001850177,0.000701291
0.024770973,0.024917578,0.024750092,0.025117446,0.000454835,0.006927903,0.000182405
0.010036835,0.010052008,0.01010101,0.010260517,0.001328902,0.003511739,0.000295415
0.008083607,0.007997504,0.008065107,0.008029041,0.001343206,0.003750694,0.000288136
0.064233623,0.064835183,0.06498142,0.064931668,0.001028886,0.021674418,0.000526828
0.032053119,0.031973883,0.032883237,0.032468503,0.013270859,0.001022645,0.001129386
0.009999682,0.009912173,0.009839326,0.009865471,0.002556771,0.003562601,0.000207662
0.056229632,0.056176149,0.056403412,0.056817211,0.000853468,0.019732837,0.000586807
0.003158074,0.003135538,0.003124509,0.003197736,0.012267068,0.001044576,0.000253791
0.001820537,0.001823237,0.001795154,0.001804399,0.015763495,0.000233356,0.000112499
0.000912922,0.00087666,0.000884493,0.00086483,0.058831503,0.000300552,0.000246001
0.002006306,0.002038369,0.001983566,0.002023276,0.028062973,0.000372166,0.000148608
0.001178306,0.001199357,0.001167112,0.001201153,0.021944476,0.000202242,0.000266823
0.002659151,0.002699897,0.002648244,0.002717275,0.002400271,0.00145502,0.000105696
0.002016921,0.002027612,0.001973099,0.002017937,0.031138367,0.000473109,9.92E-05
0.010822373,0.010772698,0.010729052,0.01069827,0.028741382,0.002769271,8.49E-05
0.003534919,0.003549666,0.003543204,0.003603459,0.00668984,0.000797891,0.000234377
0.001565768,0.001559702,0.001543937,0.001574845,0.08853054,0.000363266,0.000340195
0.010073989,0.010035873,0.01000157,0.010004271,0.034741468,0.000244499,0.000450807
0.002797151,0.002759058,0.002752918,0.002759983,0.014900413,0.000485172,0.000204946
0.00497861,0.005001802,0.005160412,0.005156951,0.078238581,0.000205691,0.000433047
0.011167373,0.01120296,0.011116345,0.011317531,0.001741474,0.003440251,0.000188599
0.028353662,0.028644727,0.028382268,0.028859705,0.002979617,0.003611524,0.000162366
0.003465919,0.003393696,0.00343853,0.003368567,0.014348058,0.000829637,0.000297024
0.003964842,0.003866984,0.003893861,0.003859705,0.020018248,0.000806304,0.000207108
0.012701294,0.012832579,0.012623646,0.012748238,0.001088531,0.005830628,0.000132498
0.001103999,0.001081035,0.001078139,0.001078369,0.006850381,0.00026135,0.000216582
0.0217509,0.021927253,0.02173549,0.021759556,0.016286997,0.000702885,0.000148788
0.007117608,0.007088575,0.007002669,0.007100149,0.000635868,0.004107098,0.000106618
0.014314831,0.014015801,0.014089077,0.014002776,0.00938331,0.004302843,0.000261109
0.002786535,0.00272141,0.00274245,0.00270126,0.01103993,0.0010152,0.000327264
0.007313992,0.007422028,0.007458,0.007559257,0.005132605,0.001579648,0.000395239
0.011958218,0.012074242,0.012000837,0.012246423,0.002199098,0.002498294,0.000140431
0.002542382,0.002554684,0.002512168,0.002557122,0.006458183,0.000396003,8.48E-05
0.006549685,0.006577638,0.006515937,0.006582319,0.004662742,0.000958614,0.000178678
0.007908453,0.007986748,0.007897629,0.008045057,0.007234106,0.002431556,5.94E-05
0.005774763,0.005733248,0.00566808,0.005717489,0.001329557,0.00281258,0.000148621
0.021220131,0.021271103,0.020945203,0.021150972,0.009467849,0.003366898,0.000129393
0.000689999,0.000709933,0.000675145,0.000710015,0.004506192,0.000509879,0.000393387
0.017313674,0.017436388,0.017501439,0.017771728,0.001136713,0.00518749,0.000260368
0.000827999,0.000795986,0.000790286,0.00079543,0.006588158,0.000583837,0.00021661
0.002903305,0.00290965,0.002873293,0.002888106,0.003344895,0.001254191,7.07E-05
0.002462767,0.002463253,0.00244413,0.002461029,0.001268589,0.002203327,0.00015473
0.00894876,0.008976352,0.008902496,0.008936579,0.005672092,0.000991805,9.95E-05
